id	subject	item	tasktype	translation_type	len_sl_chr	len_tl_chr	len_sl_wrd	len_tl_wrd	edit_time	k_total	k_letter	k_digit	k_white	k_symbol	k_nav	k_erase	k_copy	k_cut	k_paste	k_do	np_300	lp_300	np_1000	lp_1000	ev_time_ms	num_annotations
wbreaker-001-ht-1	T1	wbreaker-0011	ht	ht	49	41	7	6	96.063	93	67	0	10	1	15	0	0	0	0	0	13	84248	7	80343	96063	1
wbreaker-001-ht-2	T1	wbreaker-0012	ht	ht	60	72	8	14	55.429	154	99	0	21	4	0	30	0	0	0	0	22	30331	7	22304	55429	2
wbreaker-001-ht-3	T1	wbreaker-0013	ht	ht	43	38	9	10	92.708	50	30	0	11	3	0	6	0	0	0	0	5	79107	1	75939	92708	2
wbreaker-001-ht-4	T1	wbreaker-0014	ht	ht	106	83	19	17	48.599	95	68	0	16	5	0	6	0	0	0	0	15	35072	7	30835	48599	1
wbreaker-001-ht-5	T1	wbreaker-0015	ht	ht	85	104	16	18	124.747	126	93	0	19	4	0	10	0	0	0	0	20	87618	9	81272	124747	1
wbreaker-001-ht-6	T1	wbreaker-0016	ht	ht	39	51	7	10	51.301	168	84	0	17	3	0	64	0	0	0	0	21	26585	7	18643	51301	1
wbreaker-001-ht-7	T1	wbreaker-0017	ht	ht	28	20	5	4	51	60	41	0	8	2	0	9	0	0	0	0	11	43037	4	39699	51000	1
wbreaker-001-ht-8	T1	wbreaker-0018	ht	ht	27	27	5	5	20.544	35	29	0	4	1	0	1	0	0	0	0	5	9099	1	6920	20544	1
wbreaker-001-ht-9	T1	wbreaker-0019	ht	ht	57	53	12	11	38.94	60	45	0	10	1	0	4	0	0	0	0	8	11924	5	9954	38940	1
wbreaker-001-ht-10	T1	wbreaker-00110	ht	ht	47	46	6	6	20.734	48	33	0	5	9	0	1	0	0	0	0	12	11097	3	5478	20734	1
wbreaker-002-mt1-1	T1	wbreaker-0021	mt1	pe	45	54	7	8	8.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8193	1
wbreaker-002-mt1-2	T1	wbreaker-0022	mt1	pe	79	75	16	15	21.847	77	21	0	6	0	30	20	0	0	0	0	11	14519	4	12000	21847	1
wbreaker-002-mt1-3	T1	wbreaker-0023	mt1	pe	51	53	10	10	35.906	61	21	0	4	0	19	17	0	0	0	0	12	22225	5	18307	35906	1
wbreaker-002-mt1-4	T1	wbreaker-0024	mt1	pe	101	113	20	22	57.191	47	10	0	1	1	18	17	0	0	0	0	10	50476	4	47690	57191	1
wbreaker-002-mt1-5	T1	wbreaker-0025	mt1	pe	53	53	8	8	81.831	109	31	0	6	2	36	34	0	0	0	0	16	73921	7	69640	81831	1
wbreaker-002-mt1-6	T1	wbreaker-0026	mt1	pe	71	62	13	11	5.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5693	1
wbreaker-002-mt1-7	T1	wbreaker-0027	mt1	pe	63	64	11	10	29.47	101	37	0	5	2	12	45	0	0	0	0	10	11690	3	8363	29470	1
wbreaker-002-mt1-8	T1	wbreaker-0028	mt1	pe	96	104	15	19	39.69	18	10	0	2	1	0	5	0	0	0	0	6	30834	2	28846	39690	1
wbreaker-002-mt1-9	T1	wbreaker-0029	mt1	pe	108	92	22	20	86.955	154	32	0	9	1	65	47	0	0	0	0	22	62300	8	54837	86955	1
wbreaker-002-mt1-10	T1	wbreaker-00210	mt1	pe	13	17	1	3	15.231	22	17	0	2	0	0	3	0	0	0	0	3	10293	1	9099	15231	1
wbreaker-003-mt2-1	T1	wbreaker-0031	mt2	pe	41	57	7	9	55.806	48	27	0	5	1	0	15	0	0	0	0	10	38190	2	33929	55806	1
wbreaker-003-mt2-2	T1	wbreaker-0032	mt2	pe	26	33	6	7	5.827	6	4	0	1	0	0	1	0	0	0	0	2	2238	1	1844	5827	1
wbreaker-003-mt2-3	T1	wbreaker-0033	mt2	pe	41	49.5416666667	7	7.9722222222	79.2063055556	129.8333333333	62.6388888889	0	10.25	0.5694444444	18.7916666667	37.5833333333	0	0	0	0	16.5138888889	49787.0972222222	6.2638888889	44660.3888888889	79206.3055555556	3
wbreaker-003-mt2-4	T1	wbreaker-0034	mt2	pe	31	37.4583333333	5	6.0277777778	59.8876944444	98.1666666667	47.3611111111	0	7.75	0.4305555556	14.2083333333	28.4166666667	0	0	0	0	12.4861111111	37643.9027777778	4.7361111111	33767.6111111111	59887.6944444444	2
wbreaker-003-mt2-5	T1	wbreaker-0035	mt2	pe	103	102	18	19	64.482	96	15	0	4	0	68	9	0	0	0	0	6	25020	3	23857	64482	1
wbreaker-003-mt2-6	T1	wbreaker-0036	mt2	pe	153	174	25	28	169.305	249	72	0	14	1	100	62	0	0	0	0	33	139793	14	129805	169305	2
wbreaker-003-mt2-7	T1	wbreaker-0037	mt2	pe	123	139	24	26	56.574	53	26	0	7	0	17	3	0	0	0	0	5	46344	4	45834	56574	1
wbreaker-003-mt2-8	T1	wbreaker-0038	mt2	pe	124	152	20	25	181.72	171	70	0	12	2	24	63	0	0	0	0	23	150241	12	144111	181720	1
wbreaker-003-mt2-9	T1	wbreaker-0039	mt2	pe	171	177	27	29	166.561	112	38	0	6	0	44	24	0	0	0	0	18	152369	8	147201	166561	1
wbreaker-003-mt2-10	T1	wbreaker-00310	mt2	pe	81	99	15	18	119.591	205	70	0	14	1	34	86	0	0	0	0	22	105688	5	96830	119591	1
wbreaker-004-ht-1	T1	wbreaker-0041	ht	ht	103	111	17	20	157.055	132	100	0	21	3	0	8	0	0	0	0	19	133017	10	127859	157055	1
wbreaker-004-ht-2	T1	wbreaker-0042	ht	ht	37	34	7	6	13.956	39	29	0	5	2	0	3	0	0	0	0	7	7633	2	5451	13956	1
wbreaker-004-ht-3	T1	wbreaker-0043	ht	ht	42	43	8	8	51.213	143	74	0	13	2	8	46	0	0	0	0	13	35297	4	31016	51213	1
wbreaker-004-ht-4	T1	wbreaker-0044	ht	ht	84	75	17	12	135.537	91	73	0	13	4	0	1	0	0	0	0	16	99134	10	96573	135537	1
wbreaker-004-ht-5	T1	wbreaker-0045	ht	ht	99	104	20	18	122.137	246	142	0	29	4	0	71	0	0	0	0	34	66151	13	55254	122137	2
wbreaker-004-ht-6	T1	wbreaker-0046	ht	ht	80	87	17	15	30.507	101	76	0	15	3	0	7	0	0	0	0	8	7960	1	4656	30507	1
wbreaker-004-ht-7	T1	wbreaker-0047	ht	ht	45	33	8	5	25.582	48	35	0	5	2	0	6	0	0	0	0	8	6182	2	3199	25582	2
wbreaker-004-ht-8	T1	wbreaker-0048	ht	ht	17	23	3	4	52.795	100	28	0	5	1	41	25	0	0	0	0	10	44120	4	41465	52795	1
wbreaker-004-ht-9	T1	wbreaker-0049	ht	ht	79	78	14	13	107.79	94	76	0	12	3	0	3	0	0	0	0	14	85324	6	81144	107790	1
wbreaker-004-ht-10	T1	wbreaker-00410	ht	ht	117	117	22	25	163.832	205	113	0	32	4	26	30	0	0	0	0	29	130992	15	124492	163832	2
wbreaker-005-mt1-1	T1	wbreaker-0051	mt1	pe	25	30	4	5	25.98	7	7	0	0	0	0	0	0	0	0	0	1	3191	1	3191	25980	1
wbreaker-005-mt1-2	T1	wbreaker-0052	mt1	pe	36	34	6	6	41.007	24	4	0	1	0	13	6	0	0	0	0	5	31152	4	30845	41007	2
wbreaker-005-mt1-3	T1	wbreaker-0053	mt1	pe	85	101	14	16	135.902	185	51	0	15	4	57	58	0	0	0	0	31	66566	13	57288	135902	2
wbreaker-005-mt1-4	T1	wbreaker-0054	mt1	pe	116	109	18	18	198.668	454	66	0	18	1	273	96	0	0	0	0	31	167957	14	159970	198668	2
wbreaker-005-mt1-5	T1	wbreaker-0055	mt1	pe	32	38	6	7	15.64	49	2	0	0	1	44	2	0	0	0	0	4	3875	2	2543	15640	2
wbreaker-005-mt1-6	T1	wbreaker-0056	mt1	pe	92	91	17	16	70.575	96	23	0	3	0	51	19	0	0	0	0	13	62103	6	57922	70575	1
wbreaker-005-mt1-7	T1	wbreaker-0057	mt1	pe	116	113	19	22	88.217	71	18	0	6	0	17	30	0	0	0	0	15	72998	8	69303	88217	2
wbreaker-005-mt1-8	T1	wbreaker-0058	mt1	pe	62	89	10	16	43.179	160	70	0	14	1	8	67	0	0	0	0	17	22169	6	16597	43179	1
wbreaker-005-mt1-9	T1	wbreaker-0059	mt1	pe	43	34	8	6	18.064	55	6	0	1	0	30	18	0	0	0	0	7	9870	3	7936	18064	2
wbreaker-005-mt1-10	T1	wbreaker-00510	mt1	pe	69	69	10	10	100.894	108	52	0	8	0	1	47	0	0	0	0	13	86716	8	84062	100894	1
wbreaker-006-mt2-1	T1	wbreaker-0061	mt2	pe	105	108	22	27	36.259	92	2	0	0	0	90	0	0	0	0	0	1	9531	1	9531	36259	1
wbreaker-006-mt2-2	T1	wbreaker-0062	mt2	pe	59	84	9	14	121.332	113	44	0	15	3	0	51	0	0	0	0	19	106646	7	100494	121332	1
wbreaker-006-mt2-3	T1	wbreaker-0063	mt2	pe	27	35	6	7	13.676	15	7	0	2	0	0	6	0	0	0	0	3	2654	1	1733	13676	1
wbreaker-006-mt2-4	T1	wbreaker-0064	mt2	pe	47	54	8	10	69.374	23	18	0	2	0	0	3	0	0	0	0	5	47699	2	45398	69374	1
wbreaker-006-mt2-5	T1	wbreaker-0065	mt2	pe	137	137	24	26	113.217	110	33	0	9	1	17	50	0	0	0	0	23	93799	8	85970	113217	1
wbreaker-006-mt2-6	T1	wbreaker-0066	mt2	pe	73	79	13	13	105.503	152	50	0	11	0	21	70	0	0	0	0	22	81238	6	74193	105503	1
wbreaker-006-mt2-7	T1	wbreaker-0067	mt2	pe	36	38	6	7	2.196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2196	1
wbreaker-006-mt2-8	T1	wbreaker-0068	mt2	pe	64	78	13	11	64.628	134	63	0	8	0	1	62	0	0	0	0	23	35456	5	25925	64628	1
wbreaker-006-mt2-9	T1	wbreaker-0069	mt2	pe	35	28	6	5	8.817	13	7	0	2	0	0	4	0	0	0	0	3	4282	1	3132	8817	2
wbreaker-006-mt2-10	T1	wbreaker-00610	mt2	pe	73	75	11	14	35.73	22	21	0	1	0	0	0	0	0	0	0	2	26895	2	26895	35730	1
wbreaker-007-ht-1	T1	wbreaker-0071	ht	ht	112	112	20	23	55.978	112	88	0	22	2	0	0	0	0	0	0	12	32319	6	29322	55978	1
wbreaker-007-ht-2	T1	wbreaker-0072	ht	ht	78	85	13	19	40.212	167	96	0	25	5	0	41	0	0	0	0	9	14822	4	11847	40212	1
wbreaker-007-ht-3	T1	wbreaker-0073	ht	ht	113	112	20	21	129.751	169	92	0	21	14	27	15	0	0	0	0	35	109249	18	100179	129751	1
wbreaker-007-ht-4	T1	wbreaker-0074	ht	ht	24	13	5	2	7.749	13	10	0	1	2	0	0	0	0	0	0	3	2056	1	1105	7749	1
wbreaker-007-ht-5	T1	wbreaker-0075	ht	ht	85	89	16	17	151.571	222	126	0	25	3	2	66	0	0	0	0	29	118437	10	108719	151571	1
wbreaker-007-ht-6	T1	wbreaker-0076	ht	ht	37	44	7	8	39.925	122	39	0	8	3	0	71	0	0	1	0	10	7512	2	2692	39925	3
wbreaker-007-ht-7	T1	wbreaker-0077	ht	ht	43	26	7	5	289.205	462	304	0	63	14	0	80	1	0	0	0	38	157374	19	147420	325885	5
wbreaker-007-ht-8	T1	wbreaker-0078	ht	ht	99	96	16	18	76.118	142	99	0	20	3	0	20	0	0	0	0	19	49221	11	45181	76118	1
wbreaker-007-ht-9	T1	wbreaker-0079	ht	ht	20	31	4	7	126.225	31	24	0	6	1	0	0	0	0	0	0	1	115074	1	115074	126225	1
wbreaker-007-ht-10	T1	wbreaker-00710	ht	ht	53	75	9	14	41	83	64	0	13	2	0	4	0	0	0	0	9	27969	4	24929	41000	1
wbreaker-008-mt1-1	T1	wbreaker-0081	mt1	pe	62	74	11	12	35.078	55	24	0	5	0	0	26	0	0	0	0	12	27831	4	23890	35078	1
wbreaker-008-mt1-2	T1	wbreaker-0082	mt1	pe	76	90	12	15	26.135	64	25	0	6	1	18	14	0	0	0	0	16	15066	3	8964	26135	1
wbreaker-008-mt1-3	T1	wbreaker-0083	mt1	pe	26	37	5	6	35.3	76	6	0	1	0	0	68	0	0	1	0	11	15055	4	11260	35300	3
wbreaker-008-mt1-4	T1	wbreaker-0084	mt1	pe	58	51	12	8	150.763	358	92	0	24	7	9	217	1	0	1	7	58	113857	16	92596	150763	4
wbreaker-008-mt1-5	T1	wbreaker-0085	mt1	pe	49	43	9	8	43.804	32	8	0	0	0	4	17	2	0	1	0	8	8062	2	4669	43804	5
wbreaker-008-mt1-6	T1	wbreaker-0086	mt1	pe	59	86	9	17	196.515	209	68	0	20	0	51	70	0	0	0	0	36	181478	15	169550	196515	1
wbreaker-008-mt1-7	T1	wbreaker-0087	mt1	pe	89	97.0245901639	15	19.6967213115	124.5204836066	294.7213114754	101.4016393443	0	26.9918032787	6.5655737705	72.2213114754	86.0819672131	0.7295081967	0	0.7295081967	0	37.2049180328	97466.6721311476	18.9672131148	88571.0491803279	124520.483606557	2
wbreaker-008-mt1-8	T1	wbreaker-0088	mt1	pe	33	35.9754098361	7	7.3032786885	46.1705163934	109.2786885246	37.5983606557	0	10.0081967213	2.4344262295	26.7786885246	31.9180327869	0.2704918033	0	0.2704918033	0	13.7950819672	36139.3278688525	7.0327868852	32840.9508196721	46170.5163934426	2
wbreaker-008-mt1-9	T1	wbreaker-0089	mt1	pe	31	30	5	6	13.58	63	5	0	0	0	0	57	0	0	1	0	4	2804	1	1413	13580	3
wbreaker-008-mt1-10	T1	wbreaker-00810	mt1	pe	49	55	11	12	56.244	13	4	0	1	0	1	4	2	0	1	0	7	24039	5	22562	56244	4
wbreaker-009-mt2-1	T1	wbreaker-0091	mt2	pe	55	62	12	11	100.186	149	40	0	11	6	46	46	0	0	0	0	22	86798	14	82563	100186	1
wbreaker-009-mt2-2	T1	wbreaker-0092	mt2	pe	136	143	21	25	273.943	435	159	0	31	4	114	125	0	1	1	0	62	230826	26	212108	273943	3
wbreaker-009-mt2-3	T1	wbreaker-0093	mt2	pe	68	67	11	9	23.646	7	0	0	0	0	4	1	1	0	1	0	3	7620	2	7265	23646	2
wbreaker-009-mt2-4	T1	wbreaker-0094	mt2	pe	47	40	8	8	21.527	68	21	0	5	0	14	28	0	0	0	0	11	10727	2	6024	21527	1
wbreaker-009-mt2-5	T1	wbreaker-0095	mt2	pe	5	6.8292682927	1	1.4024390244	30.5227439024	46.2804878049	25.3658536585	0	5.7317073171	1.0975609756	2.9268292683	10.9756097561	0.0609756098	0.0609756098	0.0609756098	0	7.5609756098	26327.987804878	3.1707317073	23967.987804878	30522.743902439	1
wbreaker-009-mt2-6	T1	wbreaker-0096	mt2	pe	77	105.1707317073	14	21.5975609756	470.0502560976	712.7195121951	390.6341463415	0	88.2682926829	16.9024390244	45.0731707317	169.0243902439	0.9390243902	0.9390243902	0.9390243902	0	116.4390243902	405451.012195122	48.8292682927	369107.012195122	470050.256097561	2
wbreaker-009-mt2-7	T1	wbreaker-0097	mt2	pe	149	152	27	29	10.875	18	0	0	0	0	0	16	0	0	2	0	3	2570	1	1539	10875	3
wbreaker-009-mt2-8	T1	wbreaker-0098	mt2	pe	44	42.4931506849	7	6.6301369863	14.3515342466	24.7123287671	1.5068493151	0	0	0	13.5616438356	8.1369863014	0.602739726	0	0.904109589	0	2.1095890411	2792.1917808219	1.2054794521	2187.0410958904	14351.5342465753	3
wbreaker-009-mt2-9	T1	wbreaker-0099	mt2	pe	102	98.5068493151	17	15.3698630137	33.2694657534	57.2876712329	3.4931506849	0	0	0	31.4383561644	18.8630136986	1.397260274	0	2.095890411	0	4.8904109589	6472.8082191781	2.7945205479	5069.9589041096	33269.4657534247	4
wbreaker-009-mt2-10	T1	wbreaker-00910	mt2	pe	41	37	8	7	34.79	37	29	0	6	0	0	2	0	0	0	0	8	10651	3	8049	34790	1
wbreaker-010-ht-1	T1	wbreaker-0101	ht	ht	68	64	14	14	39.527	69	50	0	14	2	1	2	0	0	0	0	9	26589	3	23230	39527	1
wbreaker-010-ht-2	T1	wbreaker-0102	ht	ht	57	60	9	13	32.354	60	47	0	12	1	0	0	0	0	0	0	6	22021	5	21451	32354	1
wbreaker-010-ht-3	T1	wbreaker-0103	ht	ht	50	49	8	8	221.166	273	204	0	38	7	1	22	0	1	0	0	48	190844	19	176586	221166	1
wbreaker-010-ht-4	T1	wbreaker-0104	ht	ht	55	53	9	8	18.236	67	49	0	8	1	0	5	0	0	3	1	11	10064	2	4792	18236	1
wbreaker-010-ht-5	T1	wbreaker-0105	ht	ht	20	22	4	4	6.094	22	18	0	3	1	0	0	0	0	0	0	3	1845	1	1151	6094	1
wbreaker-010-ht-6	T1	wbreaker-0106	ht	ht	89	94	15	16	45.466	122	88	0	17	3	0	14	0	0	0	0	21	29806	8	22458	45466	1
wbreaker-010-ht-7	T1	wbreaker-0107	ht	ht	79	63	14	10	113.458	71	52	0	11	3	3	2	0	0	0	0	13	71039	6	67095	113458	2
wbreaker-010-ht-8	T1	wbreaker-0108	ht	ht	43	40	7	6	69.132	62	43	0	7	1	0	11	0	0	0	0	6	50915	4	50133	69132	2
wbreaker-010-ht-9	T1	wbreaker-0109	ht	ht	48	63	8	12	31.054	69	53	0	11	2	0	3	0	0	0	0	7	8008	4	6747	31054	2
wbreaker-010-ht-10	T1	wbreaker-01010	ht	ht	10	16	2	4	11.187	29	15	0	3	4	0	7	0	0	0	0	7	6337	2	4142	11187	1
wbreaker-011-mt1-1	T1	wbreaker-0111	mt1	pe	12	10	2	2	1.422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1422	1
wbreaker-011-mt1-2	T1	wbreaker-0112	mt1	pe	70	79	14	13	73.615	152	50	0	9	0	33	60	0	0	0	0	19	58189	7	51972	73615	1
wbreaker-011-mt1-3	T1	wbreaker-0113	mt1	pe	59	62	9	10	113.309	123	46	0	7	0	16	52	1	0	1	0	22	88171	9	81586	113309	4
wbreaker-011-mt1-4	T1	wbreaker-0114	mt1	pe	28	22	5	5	35.926	28	17	0	5	0	1	3	0	1	1	0	5	11687	2	10288	35926	3
wbreaker-011-mt1-5	T1	wbreaker-0115	mt1	pe	30	34	4	5	47.655	164	40	0	6	3	26	56	0	0	0	33	18	21293	7	15190	47655	1
wbreaker-011-mt1-6	T1	wbreaker-0116	mt1	pe	67	64	13	13	83.595	157	55	0	10	0	14	76	1	0	1	0	25	50456	11	43766	83595	4
wbreaker-011-mt1-7	T1	wbreaker-0117	mt1	pe	42	51	9	10	61.547	91	31	0	9	0	10	38	1	0	2	0	15	28914	5	23943	61547	4
wbreaker-011-mt1-8	T1	wbreaker-0118	mt1	pe	93	91	20	18	183.838	302	61	0	13	0	87	138	2	0	1	0	28	132958	9	123482	183838	5
wbreaker-011-mt1-9	T1	wbreaker-0119	mt1	pe	35	53	6	9	50.504	86	40	0	5	0	0	41	0	0	0	0	11	40366	6	38169	50504	1
wbreaker-011-mt1-10	T1	wbreaker-01110	mt1	pe	39	36	7	7	15.343	45	1	0	1	0	36	7	0	0	0	0	4	6511	2	5503	15343	2
wbreaker-012-mt2-1	T1	wbreaker-0121	mt2	pe	97	110	17	21	34.884	60	2	0	2	0	52	4	0	0	0	0	3	17363	2	17054	34884	1
wbreaker-012-mt2-2	T1	wbreaker-0122	mt2	pe	20	16	4	5	5.408	5	1	0	1	0	0	3	0	0	0	0	3	3042	1	1747	5408	1
wbreaker-012-mt2-3	T1	wbreaker-0123	mt2	pe	11	10	2	2	3.988	3	1	0	0	0	0	2	0	0	0	0	1	1358	1	1358	3988	1
wbreaker-012-mt2-4	T1	wbreaker-0124	mt2	pe	26	12	6	2	5.88	10	0	0	1	0	0	9	0	0	0	0	2	3103	1	2633	5880	1
wbreaker-012-mt2-5	T1	wbreaker-0125	mt2	pe	115	120	18	18	45.404	37	11	0	1	1	0	24	0	0	0	0	11	28865	6	26452	45404	1
wbreaker-012-mt2-6	T1	wbreaker-0126	mt2	pe	22	22	4	4	20.766	19	7	0	2	0	8	2	0	0	0	0	2	5823	2	5823	20766	2
wbreaker-012-mt2-7	T1	wbreaker-0127	mt2	pe	35	42	7	10	45.7	51	20	0	7	0	5	19	0	0	0	0	16	39325	8	36146	45700	1
wbreaker-012-mt2-8	T1	wbreaker-0128	mt2	pe	50	51	10	8	19.572	66	19	0	3	0	16	28	0	0	0	0	8	8157	2	5493	19572	1
wbreaker-012-mt2-9	T1	wbreaker-0129	mt2	pe	68	93	13	17	117.716	93	39	0	10	0	34	10	0	0	0	0	9	102749	6	101596	117716	1
wbreaker-012-mt2-10	T1	wbreaker-01210	mt2	pe	33	25	6	5	45.465	45	19	0	2	0	5	19	0	0	0	0	5	38298	3	37245	45465	1
wbreaker-013-ht-1	T1	wbreaker-0131	ht	ht	36	27	5	5	76.741	43	28	0	4	3	0	8	0	0	0	0	8	10104	4	8334	76741	2
wbreaker-013-ht-2	T1	wbreaker-0132	ht	ht	13	13	3	3	3.78	13	10	0	2	1	0	0	0	0	0	0	1	962	0	0	3780	1
wbreaker-013-ht-3	T1	wbreaker-0133	ht	ht	142	137	26	25	271.424	213	140	0	29	4	4	36	0	0	0	0	22	247183	12	242488	271424	1
wbreaker-013-ht-4	T1	wbreaker-0134	ht	ht	12	17	2	3	6.981	19	15	0	2	1	0	1	0	0	0	0	3	1631	0	0	6981	1
wbreaker-013-ht-5	T1	wbreaker-0135	ht	ht	65	63	11	10	68.733	79	55	1	9	6	0	8	0	0	0	0	17	56624	5	49905	68733	1
wbreaker-013-ht-6	T1	wbreaker-0136	ht	ht	36	28	7	4	14.179	28	23	0	3	2	0	0	0	0	0	0	2	7718	2	7718	14179	1
wbreaker-013-ht-7	T1	wbreaker-0137	ht	ht	49	72	9	15	61.531	80	65	0	14	1	0	0	0	0	0	0	8	49772	3	47114	61531	1
wbreaker-013-ht-8	T1	wbreaker-0138	ht	ht	37	47	7	10	67.242	48	36	0	9	2	1	0	0	0	0	0	7	60826	4	59522	67242	1
wbreaker-013-ht-9	T1	wbreaker-0139	ht	ht	53	62	9	10	51.836	74	57	0	9	5	1	2	0	0	0	0	8	36407	6	35724	51836	1
wbreaker-013-ht-10	T1	wbreaker-01310	ht	ht	40	45	9	9	165.108	95	70	0	15	4	0	6	0	0	0	0	18	152116	7	146083	165108	1
wbreaker-014-mt1-1	T1	wbreaker-0141	mt1	pe	38	32	7	5	26.649	72	26	0	3	1	0	42	0	0	0	0	6	20948	1	17894	26649	1
wbreaker-014-mt1-2	T1	wbreaker-0142	mt1	pe	12	22	2	5	9.783	26	16	0	4	0	3	3	0	0	0	0	2	4480	2	4480	9783	1
wbreaker-014-mt1-3	T1	wbreaker-0143	mt1	pe	44	40	7	7	40.762	30	4	0	2	1	9	14	0	0	0	0	7	12270	4	11163	40762	1
wbreaker-014-mt1-4	T1	wbreaker-0144	mt1	pe	22	22	3	4	4.138	3	1	0	0	0	0	2	0	0	0	0	2	2249	1	1925	4138	1
wbreaker-014-mt1-5	T1	wbreaker-0145	mt1	pe	35	33	6	7	15.746	68	18	0	6	2	18	24	0	0	0	0	5	8015	1	5628	15746	1
wbreaker-014-mt1-6	T1	wbreaker-0146	mt1	pe	34	36	6	8	14.955	47	19	0	6	0	2	20	0	0	0	0	10	10188	3	6560	14955	1
wbreaker-014-mt1-7	T1	wbreaker-0147	mt1	pe	65	77	11	14	95.829	83	28	0	10	1	10	34	0	0	0	0	18	37836	8	32550	95829	1
wbreaker-014-mt1-8	T1	wbreaker-0148	mt1	pe	130	118	25	25	96.214	154	41	0	13	0	50	50	0	0	0	0	24	83362	7	75249	96214	1
wbreaker-014-mt1-9	T1	wbreaker-0149	mt1	pe	86	82	18	15	87.29	117	44	0	9	2	0	62	0	0	0	0	13	65286	5	61380	87290	3
wbreaker-014-mt1-10	T1	wbreaker-01410	mt1	pe	62	76	12	13	34.682	102	21	0	6	1	58	16	0	0	0	0	12	24165	8	21970	34682	1
wbreaker-015-mt2-1	T1	wbreaker-0151	mt2	pe	112	109	21	20	64.104	188	32	0	9	2	47	98	0	0	0	0	18	46216	8	41054	64104	1
wbreaker-015-mt2-2	T1	wbreaker-0152	mt2	pe	37	41	7	8	16.182	66	21	0	5	1	12	27	0	0	0	0	9	8953	3	5532	16182	1
wbreaker-015-mt2-3	T1	wbreaker-0153	mt2	pe	32	22	6	4	1.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1350	1
wbreaker-015-mt2-4	T1	wbreaker-0154	mt2	pe	53	58	10	9	3.777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3777	1
wbreaker-015-mt2-5	T1	wbreaker-0155	mt2	pe	46	50	7	9	26.851	23	13	0	2	0	0	8	0	0	0	0	2	13095	2	13095	26851	2
wbreaker-015-mt2-6	T1	wbreaker-0156	mt2	pe	64	68	9	11	28.138	90	8	0	1	2	65	14	0	0	0	0	9	10966	4	8512	28138	1
wbreaker-015-mt2-7	T1	wbreaker-0157	mt2	pe	72	67	13	11	77.023	210	65	0	16	3	23	103	0	0	0	0	26	62602	11	54899	77023	1
wbreaker-015-mt2-8	T1	wbreaker-0158	mt2	pe	132	161	25	32	124.136	228	56	0	15	0	86	70	0	0	0	1	25	96207	11	89508	124136	1
wbreaker-015-mt2-9	T1	wbreaker-0159	mt2	pe	156	173	26	32	120.248	205	43	0	10	0	88	64	0	0	0	0	25	103430	12	97639	120248	1
wbreaker-015-mt2-10	T1	wbreaker-01510	mt2	pe	59	74	14	12	51.397	31	10	0	2	0	17	2	0	0	0	0	4	23584	2	22802	51397	1
wbreaker-016-ht-1	T1	wbreaker-0161	ht	ht	63	44	12	11	94.969	108	57	0	16	3	0	32	0	0	0	0	11	82698	4	80009	94969	1
wbreaker-016-ht-2	T1	wbreaker-0162	ht	ht	56	59	11	11	33.419	64	50	0	10	4	0	0	0	0	0	0	7	17142	3	15122	33419	1
wbreaker-016-ht-3	T1	wbreaker-0163	ht	ht	32	27	7	4	43.184	78	47	1	5	2	0	23	0	0	0	0	9	33963	2	29985	43184	1
wbreaker-016-ht-4	T1	wbreaker-0164	ht	ht	78	71	16	16	25.095	81	58	0	16	2	0	5	0	0	0	0	5	3312	1	1365	25095	1
wbreaker-016-ht-5	T1	wbreaker-0165	ht	ht	51	61	9	12	16.56	61	47	0	11	3	0	0	0	0	0	0	2	1716	0	0	16560	1
wbreaker-016-ht-6	T1	wbreaker-0166	ht	ht	117	109	21	19	141.326	156	105	0	26	5	0	20	0	0	0	0	26	120687	8	110048	141326	1
wbreaker-016-ht-7	T1	wbreaker-0167	ht	ht	29	28	5	5	9.054	44	30	0	4	2	0	8	0	0	0	0	4	1799	0	0	9054	1
wbreaker-016-ht-8	T1	wbreaker-0168	ht	ht	33	34	6	6	28.908	38	30	0	5	1	0	2	0	0	0	0	5	5355	1	3111	28908	1
wbreaker-016-ht-9	T1	wbreaker-0169	ht	ht	61	67	11	12	37.096	73	57	0	12	1	0	3	0	0	0	0	6	10176	3	8639	37096	1
wbreaker-016-ht-10	T1	wbreaker-01610	ht	ht	64	73	11	16	57.966	91	62	0	17	3	0	9	0	0	0	0	8	23885	3	20833	57966	2
wbreaker-017-mt1-1	T1	wbreaker-0171	mt1	pe	122	138	23	27	140.513	65	46	0	9	1	0	9	0	0	0	0	5	113816	3	112599	140513	1
wbreaker-017-mt1-2	T1	wbreaker-0172	mt1	pe	68	65	12	9	99.93	60	19	0	2	1	15	23	0	0	0	0	13	80089	6	76625	99930	2
wbreaker-017-mt1-3	T1	wbreaker-0173	mt1	pe	111	113	20	23	52.378	76	33	0	8	0	5	30	0	0	0	0	17	33205	6	27557	52378	1
