id	subject	item	tasktype	translation_type	len_sl_chr	len_tl_chr	len_sl_wrd	len_tl_wrd	edit_time	k_total	k_letter	k_digit	k_white	k_symbol	k_nav	k_erase	k_copy	k_cut	k_paste	k_do	np_300	lp_300	np_1000	lp_1000	ev_time_ms	num_annotations
wbreaker-023-ht-6	T5	wbreaker-0236	ht	ht	57	66	9	11	137.641	392	148	0	24	1	112	107	0	0	0	0	65	98931	22	75146	137641	3
wbreaker-023-ht-7	T5	wbreaker-0237	ht	ht	66	60	13	12	44.732	77	45	0	12	8	7	5	0	0	0	0	23	26428	7	17193	44732	2
wbreaker-023-ht-8	T5	wbreaker-0238	ht	ht	48	54	8	10	49.868	186	97	0	21	8	43	17	0	0	0	0	18	44065	11	40610	60752	2
wbreaker-023-ht-9	T5	wbreaker-0239	ht	ht	27	36	5	9	56.962	98	42	0	14	5	13	24	0	0	0	0	18	38416	7	32190	56962	2
wbreaker-023-ht-10	T5	wbreaker-02310	ht	ht	64	73	13	13	49.558	129	70	0	14	3	29	13	0	0	0	0	21	29124	7	21646	49558	2
wbreaker-024-mt1-1	T5	wbreaker-0241	mt1	pe	19	14	3	2	11.023	20	2	0	0	0	6	12	0	0	0	0	5	7221	1	5064	11023	1
wbreaker-024-mt1-2	T5	wbreaker-0242	mt1	pe	62	60	10	8	28.472	108	17	0	0	1	63	27	0	0	0	0	13	19900	5	15675	28472	1
wbreaker-024-mt1-3	T5	wbreaker-0243	mt1	pe	18	27	3	5	14.07	24	0	0	0	0	21	3	0	0	0	0	1	8766	1	8766	14070	1
wbreaker-024-mt1-4	T5	wbreaker-0244	mt1	pe	27	31	5	6	26.701	87	16	0	4	0	48	19	0	0	0	0	7	14155	2	11176	26701	2
wbreaker-024-mt1-5	T5	wbreaker-0245	mt1	pe	82	106	13	18	130.482	205	48	0	5	1	102	49	0	0	0	0	28	115611	11	106244	130482	1
wbreaker-024-mt1-6	T5	wbreaker-0246	mt1	pe	66	80	11	15	44.705	159	22	0	4	0	104	29	0	0	0	0	14	31566	5	26973	44705	1
wbreaker-024-mt1-7	T5	wbreaker-0247	mt1	pe	24	39	4	6	15.816	51	11	0	2	0	34	4	0	0	0	0	2	9304	2	9304	15816	1
wbreaker-024-mt1-8	T5	wbreaker-0248	mt1	pe	116	130	18	20	54.206	220	36	0	5	0	147	32	0	0	0	0	18	43883	8	38654	54206	1
wbreaker-024-mt1-9	T5	wbreaker-0249	mt1	pe	69	79	13	17	32.613	106	12	0	3	2	77	12	0	0	0	0	11	25658	6	23506	32613	1
wbreaker-024-mt1-10	T5	wbreaker-02410	mt1	pe	107	123	20	21	104.354	351	57	0	7	2	201	65	0	0	0	19	45	89842	19	78592	104354	1
wbreaker-025-mt2-1	T5	wbreaker-0251	mt2	pe	86	122	16	22	248.89	359	61	0	13	4	246	35	0	0	0	0	31	225723	16	217286	248890	2
wbreaker-025-mt2-2	T5	wbreaker-0252	mt2	pe	70	69	13	11	28.965	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	28965	2
wbreaker-025-mt2-3	T5	wbreaker-0253	mt2	pe	20	28	4	7	7.779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7779	1
wbreaker-025-mt2-4	T5	wbreaker-0254	mt2	pe	83	89	16	16	46.14	191	37	0	6	0	108	40	0	0	0	0	18	31137	6	25308	46140	1
wbreaker-025-mt2-5	T5	wbreaker-0255	mt2	pe	20	22	4	4	1.832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1832	1
wbreaker-025-mt2-6	T5	wbreaker-0256	mt2	pe	82	94	17	18	45.682	45	18	0	0	0	10	17	0	0	0	0	7	37027	4	35584	45682	1
wbreaker-025-mt2-7	T5	wbreaker-0257	mt2	pe	155	146	28	27	115.549	448	80	0	12	0	261	95	0	0	0	0	45	87869	17	73692	115549	1
wbreaker-025-mt2-8	T5	wbreaker-0258	mt2	pe	22	23.7368421053	3	4.6315789474	14.1975263158	59.8245614035	5.7894736842	0	0.3859649123	0.3859649123	47.2807017544	5.7894736842	0	0	0.1929824561	0	3.8596491228	10355.8245614035	1.9298245614	9278.2105263158	14197.5263157895	1
wbreaker-025-mt2-9	T5	wbreaker-0259	mt2	pe	92	99.2631578947	18	19.3684210526	59.3714736842	250.1754385965	24.2105263158	0	1.6140350877	1.6140350877	197.7192982456	24.2105263158	0	0	0.8070175439	0	16.1403508772	43306.1754385965	8.0701754386	38799.7894736842	59371.4736842105	3
wbreaker-025-mt2-10	T5	wbreaker-02510	mt2	pe	91	69	18	11	86.632	236	46	0	3	2	118	67	0	0	0	0	27	71804	10	62278	86632	1
wbreaker-026-ht-1	T5	wbreaker-0261	ht	ht	10	10	2	2	6.937	10	8	0	1	1	0	0	0	0	0	0	3	3534	1	1874	6937	1
wbreaker-026-ht-2	T5	wbreaker-0262	ht	ht	39	37	7	6	28.459	37	31	0	5	1	0	0	0	0	0	0	4	5389	1	4059	28459	1
wbreaker-026-ht-3	T5	wbreaker-0263	ht	ht	70	68	14	15	68.23	128	69	0	15	2	24	18	0	0	0	0	26	36968	8	27637	68230	3
wbreaker-026-ht-4	T5	wbreaker-0264	ht	ht	158	179	29	31	125.931	275	165	0	37	5	42	26	0	0	0	0	52	84927	18	66360	125931	2
wbreaker-026-ht-5	T5	wbreaker-0265	ht	ht	13	10	3	2	8.907	10	8	0	1	1	0	0	0	0	0	0	5	6114	2	4628	8907	1
wbreaker-026-ht-6	T5	wbreaker-0266	ht	ht	79	84	17	16	96.873	225	124	0	26	1	8	66	0	0	0	0	47	66842	17	51442	96873	2
wbreaker-026-ht-7	T5	wbreaker-0267	ht	ht	151	176	27	33	465.747	881	480	0	97	11	178	115	0	0	0	0	127	415374	47	376264	515951	3
wbreaker-026-ht-8	T5	wbreaker-0268	ht	ht	101	110	17	18	142.952	195	117	0	19	1	31	27	0	0	0	0	48	119721	19	105263	142952	1
wbreaker-026-ht-9	T5	wbreaker-0269	ht	ht	51	60	10	10	83.277	151	69	0	12	3	43	24	0	0	0	0	29	39906	10	30678	83277	3
wbreaker-026-ht-10	T5	wbreaker-02610	ht	ht	34	37	6	7	53.279	60	29	0	6	2	23	0	0	0	0	0	13	13524	4	8236	53279	3
wbreaker-027-mt2-1	T5	wbreaker-0271	mt2	pe	25	22	6	5	5.588	25	0	0	0	0	20	5	0	0	0	0	1	2881	1	2881	5588	1
wbreaker-027-mt2-2	T5	wbreaker-0272	mt2	pe	70	69	13	14	43.018	105	10	0	2	0	67	26	0	0	0	0	11	30192	4	26585	43018	1
wbreaker-027-mt2-3	T5	wbreaker-0273	mt2	pe	50	35	11	5	19.425	38	1	0	0	0	30	7	0	0	0	0	4	17195	2	16121	19425	1
wbreaker-027-mt2-4	T5	wbreaker-0274	mt2	pe	67	92	13	17	141.922	224	41	0	12	4	104	60	0	0	0	3	33	121461	13	109239	141922	2
wbreaker-027-mt2-5	T5	wbreaker-0275	mt2	pe	119	156	25	28	238.868	387	67	0	10	2	242	60	0	0	0	6	69	211807	24	186345	238868	2
wbreaker-027-mt2-6	T5	wbreaker-0276	mt2	pe	75	63	13	12	60.176	92	10	0	1	0	66	15	0	0	0	0	15	37265	6	33528	60176	1
wbreaker-027-mt2-7	T5	wbreaker-0277	mt2	pe	22	34	4	6	98.438	119	38	0	6	3	30	42	0	0	0	0	30	89254	12	78864	98438	1
wbreaker-027-mt2-8	T5	wbreaker-0278	mt2	pe	36	36	5	5	23.812	47	12	0	0	1	23	11	0	0	0	0	12	20027	7	17311	23812	1
wbreaker-027-mt2-9	T5	wbreaker-0279	mt2	pe	7	8	1	1	5.521	7	1	0	0	0	6	0	0	0	0	0	1	3103	1	3103	5521	1
wbreaker-027-mt2-10	T5	wbreaker-02710	mt2	pe	103	113	17	22	117.596	243	54	0	12	1	114	62	0	0	0	0	44	104466	12	87715	117596	1
wbreaker-028-mt1-1	T5	wbreaker-0281	mt1	pe	82	80	14	14	37.62	109	13	0	0	0	81	15	0	0	0	0	17	31954	5	25051	37620	1
wbreaker-028-mt1-2	T5	wbreaker-0282	mt1	pe	37	38	8	8	13.06	22	11	0	2	1	4	4	0	0	0	0	7	8110	3	6370	13060	1
wbreaker-028-mt1-3	T5	wbreaker-0283	mt1	pe	57	84	11	16	61.336	188	28	0	2	2	115	41	0	0	0	0	36	51115	9	37256	61336	1
wbreaker-028-mt1-4	T5	wbreaker-0284	mt1	pe	89	109	18	25	49.068	213	22	0	8	0	165	18	0	0	0	0	24	41557	6	32692	49068	1
wbreaker-028-mt1-5	T5	wbreaker-0285	mt1	pe	53	55	7	10	21.242	25	10	0	1	0	4	10	0	0	0	0	10	16400	2	12086	21242	1
wbreaker-028-mt1-6	T5	wbreaker-0286	mt1	pe	44	61	8	11	54.109	32	17	0	3	0	3	9	0	0	0	0	21	48911	5	41429	54109	1
wbreaker-028-mt1-7	T5	wbreaker-0287	mt1	pe	62	80	11	11	55.422	125	38	0	4	0	54	29	0	0	0	0	27	45643	3	33910	55422	1
wbreaker-028-mt1-8	T5	wbreaker-0288	mt1	pe	128	129	24	23	91.254	229	26	0	4	0	151	48	0	0	0	0	42	65923	9	48845	91254	3
wbreaker-028-mt1-9	T5	wbreaker-0289	mt1	pe	92	96	16	20	53.372	87	3	0	1	1	76	6	0	0	0	0	8	35299	4	33211	53372	3
wbreaker-028-mt1-10	T5	wbreaker-02810	mt1	pe	54	63	9	12	62.218	101	5	0	1	0	95	0	0	0	0	0	3	23922	2	23622	62218	2
wbreaker-029-mt2-1	T5	wbreaker-0291	mt2	pe	55	69	10	14	44.079	38	11	0	1	0	15	11	0	0	0	0	11	24955	5	22141	44079	2
wbreaker-029-mt2-2	T5	wbreaker-0292	mt2	pe	64	71	11	15	21.692	101	1	0	0	1	97	2	0	0	0	0	4	18797	3	18457	21692	1
